ICD_Start,ICD_End,Cause,Level
I02.9,I02.9,"Communicable, maternal, neonatal, and nutritional diseases",1
I98.0,I98.1,"Communicable, maternal, neonatal, and nutritional diseases",1
J00,J02.8,"Communicable, maternal, neonatal, and nutritional diseases",1
J03,J03.8,"Communicable, maternal, neonatal, and nutritional diseases",1
J04,J04.2,"Communicable, maternal, neonatal, and nutritional diseases",1
J05,J05.1,"Communicable, maternal, neonatal, and nutritional diseases",1
J06.0,J06.8,"Communicable, maternal, neonatal, and nutritional diseases",1
J09,J15.8,"Communicable, maternal, neonatal, and nutritional diseases",1
J16,J16.9,"Communicable, maternal, neonatal, and nutritional diseases",1
J20,J21.9,"Communicable, maternal, neonatal, and nutritional diseases",1
J36,J36.0,"Communicable, maternal, neonatal, and nutritional diseases",1
J91.0,J91.0,"Communicable, maternal, neonatal, and nutritional diseases",1
K52.1,K52.1,"Communicable, maternal, neonatal, and nutritional diseases",1
K67.0,K67.8,"Communicable, maternal, neonatal, and nutritional diseases",1
K75.3,K75.3,"Communicable, maternal, neonatal, and nutritional diseases",1
K76.3,K76.3,"Communicable, maternal, neonatal, and nutritional diseases",1
K77.0,K77.0,"Communicable, maternal, neonatal, and nutritional diseases",1
K93.0,K93.1,"Communicable, maternal, neonatal, and nutritional diseases",1
M03.1,M03.1,"Communicable, maternal, neonatal, and nutritional diseases",1
M12.1,M12.1,"Communicable, maternal, neonatal, and nutritional diseases",1
M49.0,M49.1,"Communicable, maternal, neonatal, and nutritional diseases",1
M73.0,M73.1,"Communicable, maternal, neonatal, and nutritional diseases",1
M89.6,M89.6,"Communicable, maternal, neonatal, and nutritional diseases",1
N74.1,N74.1,"Communicable, maternal, neonatal, and nutritional diseases",1
N96,N96,"Communicable, maternal, neonatal, and nutritional diseases",1
N98,N98.9,"Communicable, maternal, neonatal, and nutritional diseases",1
O00,O07.9,"Communicable, maternal, neonatal, and nutritional diseases",1
O09,O16.9,"Communicable, maternal, neonatal, and nutritional diseases",1
O20,O26.9,"Communicable, maternal, neonatal, and nutritional diseases",1
O28,O36.9,"Communicable, maternal, neonatal, and nutritional diseases",1
O40,O48.1,"Communicable, maternal, neonatal, and nutritional diseases",1
O60,O77.9,"Communicable, maternal, neonatal, and nutritional diseases",1
O80,O92.7,"Communicable, maternal, neonatal, and nutritional diseases",1
O96,O98.6,"Communicable, maternal, neonatal, and nutritional diseases",1
O98.8,P04.2,"Communicable, maternal, neonatal, and nutritional diseases",1
P04.5,P05.9,"Communicable, maternal, neonatal, and nutritional diseases",1
P07,P15.9,"Communicable, maternal, neonatal, and nutritional diseases",1
P19,P22.9,"Communicable, maternal, neonatal, and nutritional diseases",1
P23.0,P23.4,"Communicable, maternal, neonatal, and nutritional diseases",1
P24,P29.9,"Communicable, maternal, neonatal, and nutritional diseases",1
P35,P37.2,"Communicable, maternal, neonatal, and nutritional diseases",1
P37.5,P39.9,"Communicable, maternal, neonatal, and nutritional diseases",1
P50,P61.9,"Communicable, maternal, neonatal, and nutritional diseases",1
P70,P70.1,"Communicable, maternal, neonatal, and nutritional diseases",1
P70.3,P72.9,"Communicable, maternal, neonatal, and nutritional diseases",1
P74,P78.9,"Communicable, maternal, neonatal, and nutritional diseases",1
P80,P81.9,"Communicable, maternal, neonatal, and nutritional diseases",1
P83,P84,"Communicable, maternal, neonatal, and nutritional diseases",1
P90,P94.9,"Communicable, maternal, neonatal, and nutritional diseases",1
P96,P96,"Communicable, maternal, neonatal, and nutritional diseases",1
P96.3,P96.4,"Communicable, maternal, neonatal, and nutritional diseases",1
P96.8,P96.8,"Communicable, maternal, neonatal, and nutritional diseases",1
R19.7,R19.7,"Communicable, maternal, neonatal, and nutritional diseases",1
U04,U04.9,"Communicable, maternal, neonatal, and nutritional diseases",1
U06,U06.9,"Communicable, maternal, neonatal, and nutritional diseases",1
U82,U89,"Communicable, maternal, neonatal, and nutritional diseases",1
Z16,Z16.3,"Communicable, maternal, neonatal, and nutritional diseases",1
A50,A58,HIV/AIDS and sexually transmitted infections,2
A60,A60.9,HIV/AIDS and sexually transmitted infections,2
A63,A63.8,HIV/AIDS and sexually transmitted infections,2
B20,B24.9,HIV/AIDS and sexually transmitted infections,2
B63,B63,HIV/AIDS and sexually transmitted infections,2
F02.4,F02.4,HIV/AIDS and sexually transmitted infections,2
I98.0,I98.0,HIV/AIDS and sexually transmitted infections,2
K67.0,K67.2,HIV/AIDS and sexually transmitted infections,2
M03.1,M03.1,HIV/AIDS and sexually transmitted infections,2
M73.0,M73.1,HIV/AIDS and sexually transmitted infections,2
B20,B24.9,HIV/AIDS,3
F02.4,F02.4,HIV/AIDS,3
B20.0,B20.0,HIV/AIDS–drug-susceptible tuberculosis,4
,,HIV/AIDS–multidrug-resistant tuberculosis without extensive drug resistance,
,,HIV/AIDS–extensively drug-resistant tuberculosis,4
B20,B20,HIV/AIDS resulting in other diseases,4
B20.1,B24.9,HIV/AIDS resulting in other diseases,4
F02.4,F02.4,HIV/AIDS resulting in other diseases,4
A50,A58,Sexually transmitted infections excluding HIV,3
A60,A60.9,Sexually transmitted infections excluding HIV,3
A63,A63.8,Sexually transmitted infections excluding HIV,3
B63,B63,Sexually transmitted infections excluding HIV,3
I98.0,I98.0,Sexually transmitted infections excluding HIV,3
K67.0,K67.2,Sexually transmitted infections excluding HIV,3
M03.1,M03.1,Sexually transmitted infections excluding HIV,3
M73.0,M73.1,Sexually transmitted infections excluding HIV,3
A50,A53.9,Syphilis,4
I98.0,I98.0,Syphilis,4
K67.2,K67.2,Syphilis,4
M03.1,M03.1,Syphilis,4
M73.1,M73.1,Syphilis,4
A55,A56.8,Chlamydial infection,4
K67.0,K67.0,Chlamydial infection,4
A54,A54.9,Gonococcal infection,4
K67.1,K67.1,Gonococcal infection,4
M73.0,M73.0,Gonococcal infection,4
A57,A58,Other sexually transmitted infections,4
A63,A63.8,Other sexually transmitted infections,4
B63,B63,Other sexually transmitted infections,4
A10,A14,Respiratory infections and tuberculosis,2
A15,A19.9,Respiratory infections and tuberculosis,2
A48.1,A48.1,Respiratory infections and tuberculosis,2
A70,A70,Respiratory infections and tuberculosis,2
B90,B90.9,Respiratory infections and tuberculosis,2
B97.4,B97.6,Respiratory infections and tuberculosis,2
H70,H70.9,Respiratory infections and tuberculosis,2
J00,J02.8,Respiratory infections and tuberculosis,2
J03,J03.8,Respiratory infections and tuberculosis,2
J04,J04.2,Respiratory infections and tuberculosis,2
J05,J05.1,Respiratory infections and tuberculosis,2
J06.0,J06.8,Respiratory infections and tuberculosis,2
J09,J15.8,Respiratory infections and tuberculosis,2
J16,J16.9,Respiratory infections and tuberculosis,2
J20,J21.9,Respiratory infections and tuberculosis,2
J36,J36.0,Respiratory infections and tuberculosis,2
J91.0,J91.0,Respiratory infections and tuberculosis,2
K67.3,K67.3,Respiratory infections and tuberculosis,2
K93.0,K93.0,Respiratory infections and tuberculosis,2
M49.0,M49.0,Respiratory infections and tuberculosis,2
N74.1,N74.1,Respiratory infections and tuberculosis,2
P23.0,P23.4,Respiratory infections and tuberculosis,2
P37.0,P37.0,Respiratory infections and tuberculosis,2
U04,U04.9,Respiratory infections and tuberculosis,2
U84.3,U84.3,Respiratory infections and tuberculosis,2
A10,A14,Tuberculosis,3
A15,A19.9,Tuberculosis,3
B90,B90.9,Tuberculosis,3
K67.3,K67.3,Tuberculosis,3
K93.0,K93.0,Tuberculosis,3
M49.0,M49.0,Tuberculosis,3
N74.1,N74.1,Tuberculosis,3
P37.0,P37.0,Tuberculosis,3
U84.3,U84.3,Tuberculosis,3
A10,A14,Drug-susceptible tuberculosis,4
A15,A19.9,Drug-susceptible tuberculosis,4
B90,B90.9,Drug-susceptible tuberculosis,4
K67.3,K67.3,Drug-susceptible tuberculosis,4
K93.0,K93.0,Drug-susceptible tuberculosis,4
M49.0,M49.0,Drug-susceptible tuberculosis,4
N74.1,N74.1,Drug-susceptible tuberculosis,4
P37.0,P37.0,Drug-susceptible tuberculosis,4
U84.3,U84.3,Multidrug-resistant tuberculosis without extensive drug resistance,
,,Extensively drug-resistant tuberculosis,4
A48.1,A48.1,Lower respiratory infections,3
A70,A70,Lower respiratory infections,3
B97.4,B97.6,Lower respiratory infections,3
J09,J15.8,Lower respiratory infections,3
J16,J16.9,Lower respiratory infections,3
J20,J21.9,Lower respiratory infections,3
J91.0,J91.0,Lower respiratory infections,3
P23.0,P23.4,Lower respiratory infections,3
U04,U04.9,Lower respiratory infections,3
J00,J02.8,Upper respiratory infections,3
J03,J03.8,Upper respiratory infections,3
J04,J04.2,Upper respiratory infections,3
J05,J05.1,Upper respiratory infections,3
J06.0,J06.8,Upper respiratory infections,3
J36,J36.0,Upper respiratory infections,3
H70,H70.9,Otitis media,3
A00,A00.9,Enteric infections,2
A01.0,A09.9,Enteric infections,2
A80,A80.9,Enteric infections,2
K52.1,K52.1,Enteric infections,2
R19.7,R19.7,Enteric infections,2
A00,A00.9,Diarrheal diseases,
A02,A02.0,Diarrheal diseases,
A02.8,A07,Diarrheal diseases,
A07.2,A07.4,Diarrheal diseases,
A08,A09.9,Diarrheal diseases,
K52.1,K52.1,Diarrheal diseases,
R19.7,R19.7,Diarrheal diseases,
A01.0,A01.4,Typhoid and paratyphoid,3
A01.0,A01.0,Typhoid fever,4
A01.1,A01.4,Paratyphoid fever,4
A02.1,A02.2,Invasive non-typhoidal Salmonella (iNTS),3
A07.0,A07.1,Other intestinal infectious diseases,3
A07.8,A07.9,Other intestinal infectious diseases,3
A80,A80.9,Other intestinal infectious diseases,3
A68,A68.9,Neglected tropical diseases and malaria,2
A69.2,A69.9,Neglected tropical diseases and malaria,2
A75,A75.9,Neglected tropical diseases and malaria,2
A77,A79.9,Neglected tropical diseases and malaria,2
A82,A82.9,Neglected tropical diseases and malaria,2
A90,A96.9,Neglected tropical diseases and malaria,2
A98,A98.8,Neglected tropical diseases and malaria,2
B33.0,B33.1,Neglected tropical diseases and malaria,2
B50,B54.0,Neglected tropical diseases and malaria,2
B55.0,B55.0,Neglected tropical diseases and malaria,2
B56,B57.5,Neglected tropical diseases and malaria,2
B60,B60.8,Neglected tropical diseases and malaria,2
B65,B67.9,Neglected tropical diseases and malaria,2
B69,B72.0,Neglected tropical diseases and malaria,2
B74.3,B75,Neglected tropical diseases and malaria,2
B77,B77.9,Neglected tropical diseases and malaria,2
B83,B83.8,Neglected tropical diseases and malaria,2
K93.1,K93.1,Neglected tropical diseases and malaria,2
P37.1,P37.1,Neglected tropical diseases and malaria,2
U06,U06.9,Neglected tropical diseases and malaria,2
B50,B54.0,Malaria,3
A30,A30.9,Leprosy,3
B57,B57.5,Chagas disease,3
K93.1,K93.1,Chagas disease,3
B55.0,B55.0,Leishmaniasis,3
B55.0,B55.0,Visceral leishmaniasis,4
B56,B56.9,African trypanosomiasis,3
B65,B65.9,Schistosomiasis,3
B69,B69.9,Cysticercosis,3
B67,B67.4,Cystic echinococcosis,3
B67.8,B67.9,Cystic echinococcosis,3
A90,A91.9,Dengue,3
A95,A95.9,Yellow fever,3
A82,A82.9,Rabies,3
B77,B77.9,Intestinal nematode infections,3
B77,B77.9,Ascariasis,4
A98.4,A98.4,Ebola virus disease,3
U06,U06.9,Zika virus disease,3
A68,A68.9,Other neglected tropical diseases,3
A69.2,A69.9,Other neglected tropical diseases,3
A75,A75.9,Other neglected tropical diseases,3
A77,A79.9,Other neglected tropical diseases,3
A92,A94.0,Other neglected tropical diseases,3
A96,A96.9,Other neglected tropical diseases,3
A98,A98.3,Other neglected tropical diseases,3
A98.5,A98.8,Other neglected tropical diseases,3
B33.0,B33.1,Other neglected tropical diseases,3
B60,B60.8,Other neglected tropical diseases,3
B67.5,B67.7,Other neglected tropical diseases,3
B70,B71.9,Other neglected tropical diseases,3
B74.3,B75,Other neglected tropical diseases,3
B83,B83.8,Other neglected tropical diseases,3
P37.1,P37.1,Other neglected tropical diseases,3
A20,A28.9,Other infectious diseases,2
A32,A39.9,Other infectious diseases,2
A48.2,A48.2,Other infectious diseases,2
A48.4,A48.5,Other infectious diseases,2
A65,A65.0,Other infectious diseases,2
A69,A69.1,Other infectious diseases,2
A74,A74,Other infectious diseases,2
A74.8,A74.9,Other infectious diseases,2
A81,A81.9,Other infectious diseases,2
A83,A89.9,Other infectious diseases,2
B00,B06.9,Other infectious diseases,2
B10,B10.8,Other infectious diseases,2
B15,B16.2,Other infectious diseases,2
B17.0,B17.0,Other infectious diseases,2
B17.2,B17.2,Other infectious diseases,2
B19.1,B19.1,Other infectious diseases,2
B25,B27.9,Other infectious diseases,2
B29.4,B29.4,Other infectious diseases,2
B33,B33,Other infectious diseases,2
B33.3,B33.8,Other infectious diseases,2
B47,B48.8,Other infectious diseases,2
B91,B91,Other infectious diseases,2
B94.1,B94.1,Other infectious diseases,2
B95,B95.5,Other infectious diseases,2
D70.3,D70.3,Other infectious diseases,2
D89.3,D89.3,Other infectious diseases,2
F02.1,F02.1,Other infectious diseases,2
F07.1,F07.1,Other infectious diseases,2
G00.0,G00.8,Other infectious diseases,2
G03,G03.8,Other infectious diseases,2
G04,G05.8,Other infectious diseases,2
G14,G14.6,Other infectious diseases,2
G21.3,G21.3,Other infectious diseases,2
I00,I00,Other infectious diseases,2
I02,I02,Other infectious diseases,2
I02.9,I02.9,Other infectious diseases,2
I98.1,I98.1,Other infectious diseases,2
K67.8,K67.8,Other infectious diseases,2
K75.3,K75.3,Other infectious diseases,2
K76.3,K76.3,Other infectious diseases,2
K77.0,K77.0,Other infectious diseases,2
M49.1,M49.1,Other infectious diseases,2
M89.6,M89.6,Other infectious diseases,2
P35,P35.9,Other infectious diseases,2
P37,P37,Other infectious diseases,2
P37.2,P37.2,Other infectious diseases,2
P37.5,P37.9,Other infectious diseases,2
U82,U84,Other infectious diseases,2
U85,U89,Other infectious diseases,2
Z16,Z16.3,Other infectious diseases,2
A39,A39.9,Meningitis,3
A87,A87.9,Meningitis,3
G00.0,G00.8,Meningitis,3
G03,G03.8,Meningitis,3
A83,A86.4,Encephalitis,3
B94.1,B94.1,Encephalitis,3
F07.1,F07.1,Encephalitis,3
G04,G05.8,Encephalitis,3
G21.3,G21.3,Encephalitis,3
A36,A36.9,Diphtheria,3
A37,A37.9,Whooping cough,3
A33,A35.0,Tetanus,3
B05,B05.9,Measles,3
B01,B02.9,Varicella and herpes zoster,3
P35.8,P35.8,Varicella and herpes zoster,3
B15,B16.2,Acute hepatitis,3
B17.0,B17.0,Acute hepatitis,3
B17.2,B17.2,Acute hepatitis,3
B19.1,B19.1,Acute hepatitis,3
P35.3,P35.3,Acute hepatitis,3
B15,B15.9,Acute hepatitis A,4
B16,B16.2,Acute hepatitis B,4
B17.0,B17.0,Acute hepatitis B,4
B19.1,B19.1,Acute hepatitis B,4
P35.3,P35.3,Acute hepatitis B,4
,,Acute hepatitis C,4
B17.2,B17.2,Acute hepatitis E,4
A20,A28.9,Other unspecified infectious diseases,3
A32,A32.9,Other unspecified infectious diseases,3
A38,A38.9,Other unspecified infectious diseases,3
A48.2,A48.2,Other unspecified infectious diseases,3
A48.4,A48.5,Other unspecified infectious diseases,3
A65,A65.0,Other unspecified infectious diseases,3
A69,A69.1,Other unspecified infectious diseases,3
A74,A74,Other unspecified infectious diseases,3
A74.8,A74.9,Other unspecified infectious diseases,3
A81,A81.9,Other unspecified infectious diseases,3
A88,A89.9,Other unspecified infectious diseases,3
B00,B00.9,Other unspecified infectious diseases,3
B03,B04,Other unspecified infectious diseases,3
B06,B06.9,Other unspecified infectious diseases,3
B10,B10.8,Other unspecified infectious diseases,3
B25,B27.9,Other unspecified infectious diseases,3
B29.4,B29.4,Other unspecified infectious diseases,3
B33,B33,Other unspecified infectious diseases,3
B33.3,B33.8,Other unspecified infectious diseases,3
B47,B48.8,Other unspecified infectious diseases,3
B91,B91,Other unspecified infectious diseases,3
B95,B95.5,Other unspecified infectious diseases,3
D70.3,D70.3,Other unspecified infectious diseases,3
D89.3,D89.3,Other unspecified infectious diseases,3
F02.1,F02.1,Other unspecified infectious diseases,3
G14,G14.6,Other unspecified infectious diseases,3
I00,I00,Other unspecified infectious diseases,3
I02,I02,Other unspecified infectious diseases,3
I02.9,I02.9,Other unspecified infectious diseases,3
I98.1,I98.1,Other unspecified infectious diseases,3
K67.8,K67.8,Other unspecified infectious diseases,3
K75.3,K75.3,Other unspecified infectious diseases,3
K76.3,K76.3,Other unspecified infectious diseases,3
K77.0,K77.0,Other unspecified infectious diseases,3
M49.1,M49.1,Other unspecified infectious diseases,3
M89.6,M89.6,Other unspecified infectious diseases,3
P35,P35.2,Other unspecified infectious diseases,3
P35.9,P35.9,Other unspecified infectious diseases,3
P37,P37,Other unspecified infectious diseases,3
P37.2,P37.2,Other unspecified infectious diseases,3
P37.5,P37.9,Other unspecified infectious diseases,3
U82,U84,Other unspecified infectious diseases,3
U85,U89,Other unspecified infectious diseases,3
Z16,Z16.3,Other unspecified infectious diseases,3
C58,C58.0,Maternal and neonatal disorders,2
N96,N96,Maternal and neonatal disorders,2
N98,N98.9,Maternal and neonatal disorders,2
O00,O07.9,Maternal and neonatal disorders,2
O09,O16.9,Maternal and neonatal disorders,2
O20,O26.9,Maternal and neonatal disorders,2
O28,O36.9,Maternal and neonatal disorders,2
O40,O48.1,Maternal and neonatal disorders,2
O60,O77.9,Maternal and neonatal disorders,2
O80,O92.7,Maternal and neonatal disorders,2
O96,O98.6,Maternal and neonatal disorders,2
O98.8,P04.2,Maternal and neonatal disorders,2
P04.5,P05.9,Maternal and neonatal disorders,2
P07,P15.9,Maternal and neonatal disorders,2
P19,P22.9,Maternal and neonatal disorders,2
P24,P29.9,Maternal and neonatal disorders,2
P36,P36.9,Maternal and neonatal disorders,2
P38,P39.9,Maternal and neonatal disorders,2
P50,P61.9,Maternal and neonatal disorders,2
P70,P70.1,Maternal and neonatal disorders,2
P70.3,P72.9,Maternal and neonatal disorders,2
P74,P78.9,Maternal and neonatal disorders,2
P80,P81.9,Maternal and neonatal disorders,2
P83,P84,Maternal and neonatal disorders,2
P90,P94.9,Maternal and neonatal disorders,2
P96,P96,Maternal and neonatal disorders,2
P96.3,P96.4,Maternal and neonatal disorders,2
P96.8,P96.8,Maternal and neonatal disorders,2
C58,C58.0,Maternal disorders,3
N96,N96,Maternal disorders,3
N98,N98.9,Maternal disorders,3
O00,O07.9,Maternal disorders,3
O09,O16.9,Maternal disorders,3
O20,O26.9,Maternal disorders,3
O28,O36.9,Maternal disorders,3
O40,O48.1,Maternal disorders,3
O60,O77.9,Maternal disorders,3
O80,O92.7,Maternal disorders,3
O96,O98.6,Maternal disorders,3
O98.8,O99.9,Maternal disorders,3
O20,O20.9,Maternal haemorrhage,4
O43.2,O43.2,Maternal haemorrhage,4
O44,O46.9,Maternal haemorrhage,4
O62,O62.9,Maternal haemorrhage,4
O67,O67.9,Maternal haemorrhage,4
O70,O70,Maternal haemorrhage,4
O72,O72.3,Maternal haemorrhage,4
O23,O23.9,Maternal sepsis and other maternal infections,4
O85,O86.8,Maternal sepsis and other maternal infections,4
O91,O91.2,Maternal sepsis and other maternal infections,4
O10,O16.9,Maternal hypertensive disorders,4
O32,O33.9,Maternal obstructed labor and uterine rupture,4
O64,O66.9,Maternal obstructed labor and uterine rupture,4
O71,O71.9,Maternal obstructed labor and uterine rupture,4
N96,N96,Maternal abortion and miscarriage,4
O01,O07.9,Maternal abortion and miscarriage,4
O00,O00.9,Ectopic pregnancy,4
O24,O25.3,Indirect maternal deaths,4
O98,O98.6,Indirect maternal deaths,4
O98.8,O99.9,Indirect maternal deaths,4
O96,O97.9,Late maternal deaths,4
,,Maternal deaths aggravated by HIV/AIDS,4
C58,C58.0,Other maternal disorders,4
N98,N98.9,Other maternal disorders,4
O09,O09.9,Other maternal disorders,4
O21,O22.9,Other maternal disorders,4
O26,O26.9,Other maternal disorders,4
O28,O31.8,Other maternal disorders,4
O34,O36.9,Other maternal disorders,4
O40,O43.1,Other maternal disorders,4
O43.8,O43.9,Other maternal disorders,4
O47,O48.1,Other maternal disorders,4
O60,O61.9,Other maternal disorders,4
O63,O63.9,Other maternal disorders,4
O68,O69.9,Other maternal disorders,4
O70.0,O70.9,Other maternal disorders,4
O73,O77.9,Other maternal disorders,4
O80,O84.9,Other maternal disorders,4
O87,O90.9,Other maternal disorders,4
O92,O92.7,Other maternal disorders,4
P00,P04.2,Neonatal disorders,3
P04.5,P05.9,Neonatal disorders,3
P07,P15.9,Neonatal disorders,3
P19,P22.9,Neonatal disorders,3
P24,P29.9,Neonatal disorders,3
P36,P36.9,Neonatal disorders,3
P38,P39.9,Neonatal disorders,3
P50,P61.9,Neonatal disorders,3
P70,P70.1,Neonatal disorders,3
P70.3,P72.9,Neonatal disorders,3
P74,P78.9,Neonatal disorders,3
P80,P81.9,Neonatal disorders,3
P83,P84,Neonatal disorders,3
P90,P94.9,Neonatal disorders,3
P96,P96,Neonatal disorders,3
P96.3,P96.4,Neonatal disorders,3
P96.8,P96.8,Neonatal disorders,3
P01.0,P01.1,Neonatal preterm birth,4
P07,P07.3,Neonatal preterm birth,4
P22,P22.9,Neonatal preterm birth,4
P25,P28.9,Neonatal preterm birth,4
P61.2,P61.2,Neonatal preterm birth,4
P77,P77.9,Neonatal preterm birth,4
P01.7,P01.7,Neonatal encephalopathy due to birth asphyxia and trauma,4
P02,P03.9,Neonatal encephalopathy due to birth asphyxia and trauma,4
P10,P15.9,Neonatal encephalopathy due to birth asphyxia and trauma,4
P20,P21.9,Neonatal encephalopathy due to birth asphyxia and trauma,4
P24,P24.9,Neonatal encephalopathy due to birth asphyxia and trauma,4
P90,P91.9,Neonatal encephalopathy due to birth asphyxia and trauma,4
P36,P36.9,Neonatal sepsis and other neonatal infections,4
P38,P39.9,Neonatal sepsis and other neonatal infections,4
P55,P59.9,Hemolytic disease and other neonatal jaundice,
P00,P01,Other neonatal disorders,4
P01.2,P01.6,Other neonatal disorders,4
P01.8,P01.9,Other neonatal disorders,4
P04,P04.2,Other neonatal disorders,4
P04.5,P05.9,Other neonatal disorders,4
P08,P09,Other neonatal disorders,4
P19,P19.9,Other neonatal disorders,4
P29,P29.9,Other neonatal disorders,4
P50,P54.9,Other neonatal disorders,4
P60,P61.1,Other neonatal disorders,4
P61.3,P61.9,Other neonatal disorders,4
P70,P70.1,Other neonatal disorders,4
P70.3,P72.9,Other neonatal disorders,4
P74,P76.9,Other neonatal disorders,4
P78,P78.9,Other neonatal disorders,4
P80,P81.9,Other neonatal disorders,4
P83,P84,Other neonatal disorders,4
P92,P94.9,Other neonatal disorders,4
P96,P96,Other neonatal disorders,4
P96.3,P96.4,Other neonatal disorders,4
P96.8,P96.8,Other neonatal disorders,4
D50.1,D50.8,Nutritional deficiencies,2
D51,D52.0,Nutritional deficiencies,2
D52.8,D53.9,Nutritional deficiencies,2
E00,E02,Nutritional deficiencies,2
E40,E46.9,Nutritional deficiencies,2
E51,E61.9,Nutritional deficiencies,2
E63,E64.0,Nutritional deficiencies,2
E64.2,E64.9,Nutritional deficiencies,2
M12.1,M12.1,Nutritional deficiencies,2
E40,E46.9,Protein-energy malnutrition,3
E64.0,E64.0,Protein-energy malnutrition,3
D51,D52.0,Other nutritional deficiencies,3
D52.8,D53.9,Other nutritional deficiencies,3
E00,E02,Other nutritional deficiencies,3
E51,E61.9,Other nutritional deficiencies,3
E63,E64,Other nutritional deficiencies,3
E64.2,E64.9,Other nutritional deficiencies,3
M12.1,M12.1,Other nutritional deficiencies,3
A46,A46.0,Non-communicable diseases,1
