Cause,ICD10,ICD9
Respiratory infections and tuberculosis,"A10-A14, A15-A19.9, A48.1, A70, B90-B90.9, B97.4-B97.6, H70-H70.9, J00-J02.8, J03-J03.8, J04-J04.2, J05-J05.1, J06.0-J06.8, J09-J15.8, J16-J16.9, J20-J21.9, J36-J36.0, J91.0, K67.3, K93.0, M49.0, N74.1, P23.0-P23.4, P37.0, U04-U04.9, U84.3","010-019.9, 034.0, 079.6, 137-137.9, 138.0-138.9, 381-383.9, 460-464.4, 464.8-464.9, 465.0-465.8, 466-469, 470.0, 475-475.9, 476.9, 480-482.8, 483.0-483.9, 484.1-484.2, 484.6-484.7, 487-489, 730.4-730.6"
Tuberculosis,"A10-A14, A15-A19.9, B90-B90.9, K67.3, K93.0, M49.0, N74.1, P37.0, U84.3","010-019.9, 137-137.9, 138.0-138.9, 730.4-730.6"
Drug-susceptible tuberculosis,"A10-A14, A15-A19.9, B90-B90.9, K67.3, K93.0, M49.0, N74.1, P37.0","010-019.9, 137-137.9, 138.0-138.9, 730.4-730.6"
Multidrug-resistant tuberculosis without extensive drug resistance,U84.3,
Extensively drug-resistant tuberculosis,,
Lower respiratory infections,"A48.1, A70, B97.4-B97.6, J09-J15.8, J16-J16.9, J20-J21.9, J91.0, P23.0-P23.4, U04-U04.9","079.6, 466-469, 470.0, 480-482.8, 483.0-483.9, 484.1-484.2, 484.6-484.7, 487-489"
Upper respiratory infections,"J00-J02.8, J03-J03.8, J04-J04.2, J05-J05.1, J06.0-J06.8, J36-J36.0","034.0, 460-464.4, 464.8-464.9, 465.0-465.8, 475-475.9, 476.9"
Otitis media,H70-H70.9,381-383.9
Enteric infections,"A00-A00.9, A01.0-A09.9, A80-A80.9, K52.1, R19.7","001-001.9, 002.0-009.9, 045-045.9, 138"
Diarrheal diseases,"A00-A00.9, A02-A02.0, A02.8-A07, A07.2-A07.4, A08-A09.9, K52.1, R19.7","001-001.9, 003.8-006.9, 007.4-007.8, 008.2-009.9"
Typhoid and paratyphoid,A01.0-A01.4,002.0-002.9
Typhoid fever,A01.0,002.0
Paratyphoid fever,A01.1-A01.4,002.1-002.9
Invasive non-typhoidal Salmonella (iNTS),A02.1-A02.2,003-003.7
Other intestinal infectious diseases,"A07.0-A07.1, A07.8-A07.9, A80-A80.9","007-007.3, 007.9-008.1, 045-045.9, 138"
Neglected tropical diseases and malaria,"A68-A68.9, A69.2-A69.9, A75-A75.9, A77-A79.9, A82-A82.9, A90-A96.9, A98-A98.8, B33.0-B33.1, B50-B54.0, B55.0, B56-B57.5, B60-B60.8, B65-B67.9, B69-B72.0, B74.3-B75, B77-B77.9, B83-B83.8, K93.1, P37.1, U06-U06.9","060-061.8, 065-066.9, 071-071.9, 080-083.9, 084.0-084.5, 084.7-084.9, 085.0, 086-088, 088.8-088.9, 120-124.9, 125.4-125.9, 127-127.1, 128-129.0, 425.6"
Malaria,B50-B54.0,"084.0-084.5, 084.7-084.9"
Leprosy,A30-A30.9,030-030.9
Chagas disease,"B57-B57.5, K93.1","086-086.2, 086.9, 425.6"
Leishmaniasis,B55.0,085.0
Visceral leishmaniasis,B55.0,085.0
African trypanosomiasis,B56-B56.9,086.3-086.5
Schistosomiasis,B65-B65.9,120-120.9
Cysticercosis,B69-B69.9,123.1
Cystic echinococcosis,"B67-B67.4, B67.8-B67.9","122-122.4, 122.8-122.9"
Dengue,A90-A91.9,061-061.8
Yellow fever,A95-A95.9,060-060.9
Rabies,A82-A82.9,071-071.9
Intestinal nematode infections,B77-B77.9,127.0
Ascariasis,B77-B77.9,127.0
Ebola virus disease,A98.4,
Zika virus disease,U06-U06.9,
Other neglected tropical diseases,"A68-A68.9, A69.2-A69.9, A75-A75.9, A77-A79.9, A92-A94.0, A96-A96.9, A98-A98.3, A98.5-A98.8, B33.0-B33.1, B60-B60.8, B67.5-B67.7, B70-B71.9, B74.3-B75, B83-B83.8, P37.1","065-066.9, 080-083.9, 087-088, 088.8-088.9, 122.5-122.7, 123-123.0, 123.2-124.9, 125.4-125.6, 125.9, 127, 127.1, 128-129.0"
Other infectious diseases,"A20-A28.9, A32-A39.9, A48.2, A48.4-A48.5, A65-A65.0, A69-A69.1, A74, A74.8-A74.9, A81-A81.9, A83-A89.9, B00-B06.9, B10-B10.8, B15-B16.2, B17.0, B17.2, B19.1, B25-B27.9, B29.4, B33, B33.3-B33.8, B47-B48.8, B91, B94.1, B95-B95.5, D70.3, D89.3, F02.1, F07.1, G00.0-G00.8, G03-G03.8, G04-G05.8, G14-G14.6, G21.3, I00, I02, I02.9, I98.1, K67.8, K75.3, K76.3, K77.0, M49.1, M89.6, P35-P35.9, P37, P37.2, P37.5-P37.9, U82-U84, U85-U89, Z16-Z16.3","020-029, 032-034, 034.1-034.9, 036-036.3, 036.5-037.9, 040, 040.1-041.0, 046-054.0, 054.2-059.9, 062-064.9, 070.0-070.2, 072-075.9, 078.3-078.7, 079-079.5, 079.7, 100-101.6, 104-104.9, 136-136.2, 139-139.0, 320.0-320.8, 321-323.9, 390-390.9, 392, 392.9, 484.0, 484.3-484.5, 771.0-771.3, V09-V09.9"
Meningitis,"A39-A39.9, A87-A87.9, G00.0-G00.8, G03-G03.8","036-036.3, 036.5-036.9, 047-049.9, 320.0-320.8, 321-322.9"
Encephalitis,"A83-A86.4, B94.1, F07.1, G04-G05.8, G21.3","062-064.9, 139.0, 323, 323.4-323.9"
Diphtheria,A36-A36.9,032-032.9
Whooping cough,A37-A37.9,"033-033.9, 484.3"
Tetanus,A33-A35.0,"037-037.9, 771.3"
Measles,B05-B05.9,"055-055.9, 484.0"
Varicella and herpes zoster,"B01-B02.9, P35.8",052-053.9
Acute hepatitis,"B15-B16.2, B17.0, B17.2, B19.1, P35.3",070.0-070.2
Acute hepatitis A,B15-B15.9,070.0-070.1
Acute hepatitis B,"B16-B16.2, B17.0, B19.1, P35.3",070.2
Acute hepatitis C,,
Acute hepatitis E,B17.2,
Other unspecified infectious diseases,"A20-A28.9, A32-A32.9, A38-A38.9, A48.2, A48.4-A48.5, A65-A65.0, A69-A69.1, A74, A74.8-A74.9, A81-A81.9, A88-A89.9, B00-B00.9, B03-B04, B06-B06.9, B10-B10.8, B25-B27.9, B29.4, B33, B33.3-B33.8, B47-B48.8, B91, B95-B95.5, D70.3, D89.3, F02.1, G14-G14.6, I00, I02, I02.9, I98.1, K67.8, K75.3, K76.3, K77.0, M49.1, M89.6, P35-P35.2, P35.9, P37, P37.2, P37.5-P37.9, U82-U84, U85-U89, Z16-Z16.3","020-029, 034, 034.1-034.9, 040, 040.1-041.0, 046-046.9, 050-051.9, 054-054.0, 054.2-054.9, 056-059.9, 072-075.9, 078.3-078.7, 079-079.5, 079.7, 100-101.6, 104-104.9, 136-136.2, 139, 323.0-323.3, 390-390.9, 392, 392.9, 484.4-484.5, 771.0-771.2, V09-V09.9"
Maternal and neonatal disorders,"C58-C58.0, N96, N98-N98.9, O00-O07.9, O09-O16.9, O20-O26.9, O28-O36.9, O40-O48.1, O60-O77.9, O80-O92.7, O96-O98.6, O98.8-P04.2, P04.5-P05.9, P07-P15.9, P19-P22.9, P24-P29.9, P36-P36.9, P38-P39.9, P50-P61.9, P70-P70.1, P70.3-P72.9, P74-P78.9, P80-P81.9, P83-P84, P90-P94.9, P96, P96.3-P96.4, P96.8","181-181.9, 630-636.9, 638-638.9, 640-679.1, 760-760.6, 760.8-768, 768.2-770, 770.1-771, 771.4-775.0, 775.4-779.3, 779.6-779.8"
Maternal disorders,"C58-C58.0, N96, N98-N98.9, O00-O07.9, O09-O16.9, O20-O26.9, O28-O36.9, O40-O48.1, O60-O77.9, O80-O92.7, O96-O98.6, O98.8-O99.9","181-181.9, 630-636.9, 638-638.9, 640-679.1"
Maternal haemorrhage,"O20-O20.9, O43.2, O44-O46.9, O62-O62.9, O67-O67.9, O70, O72-O72.3","640-641.9, 661-661.9, 665, 666-666.9"
Maternal sepsis and other maternal infections,"O23-O23.9, O85-O86.8, O91-O91.2","659.3, 670-670.9"
Maternal hypertensive disorders,O10-O16.9,642-642.9
Maternal obstructed labor and uterine rupture,"O32-O33.9, O64-O66.9, O71-O71.9","652-653.9, 660-660.9, 665.0-665.3"
Maternal abortion and miscarriage,"N96, O01-O07.9","630-632.9, 634-636.9, 638-638.9, 646.3"
Ectopic pregnancy,O00-O00.9,633-633.9
Indirect maternal deaths,"O24-O25.3, O98-O98.6, O98.8-O99.9","646-646.2, 646.4-649.9"
Late maternal deaths,O96-O97.9,
Maternal deaths aggravated by HIV/AIDS,,
Other maternal disorders,"C58-C58.0, N98-N98.9, O09-O09.9, O21-O22.9, O26-O26.9, O28-O31.8, O34-O36.9, O40-O43.1, O43.8-O43.9, O47-O48.1, O60-O61.9, O63-O63.9, O68-O69.9, O70.0-O70.9, O73-O77.9, O80-O84.9, O87-O90.9, O92-O92.7","181-181.9, 643-645.2, 650-651.9, 654-659.2, 659.4-659.9, 662-664.9, 665.4-665.9, 667-669.9, 671-679.1"
Neonatal disorders,"P00-P04.2, P04.5-P05.9, P07-P15.9, P19-P22.9, P24-P29.9, P36-P36.9, P38-P39.9, P50-P61.9, P70-P70.1, P70.3-P72.9, P74-P78.9, P80-P81.9, P83-P84, P90-P94.9, P96, P96.3-P96.4, P96.8","760-760.6, 760.8-768, 768.2-770, 770.1-771, 771.4-775.0, 775.4-779.3, 779.6-779.8"
Neonatal preterm birth,"P01.0-P01.1, P07-P07.3, P22-P22.9, P25-P28.9, P61.2, P77-P77.9","761.0-761.1, 765-765.9, 769-769.9, 770.2-770.9, 776.6, 777.5-777.6"
Neonatal encephalopathy due to birth asphyxia and trauma,"P01.7, P02-P03.9, P10-P15.9, P20-P21.9, P24-P24.9, P90-P91.9","761.7-763.9, 767-768, 768.2-768.9, 770.1, 772.1-772.9, 779.0-779.2"
Neonatal sepsis and other neonatal infections,"P36-P36.9, P38-P39.9",771.4-771.9
Hemolytic disease and other neonatal jaundice,P55-P59.9,773-774.9
Other neonatal disorders,"P00-P01, P01.2-P01.6, P01.8-P01.9, P04-P04.2, P04.5-P05.9, P08-P09, P19-P19.9, P29-P29.9, P50-P54.9, P60-P61.1, P61.3-P61.9, P70-P70.1, P70.3-P72.9, P74-P76.9, P78-P78.9, P80-P81.9, P83-P84, P92-P94.9, P96, P96.3-P96.4, P96.8","760-760.6, 760.8-761, 761.2-761.6, 764-764.9, 766-766.9, 770, 771, 772-772.0, 775-775.0, 775.4-776.5, 776.7-777.4, 777.7-779, 779.3, 779.6-779.8"
Nutritional deficiencies,"D50.1-D50.8, D51-D52.0, D52.8-D53.9, E00-E02, E40-E46.9, E51-E61.9, E63-E64.0, E64.2-E64.9, M12.1","244.2, 260-263.9, 265-269.9, 281.0-281.9, 716.0"
Protein-energy malnutrition,"E40-E46.9, E64.0",260-263.9
Other nutritional deficiencies,"D51-D52.0, D52.8-D53.9, E00-E02, E51-E61.9, E63-E64, E64.2-E64.9, M12.1","244.2, 265-269.9, 281.0-281.9, 716.0"
Non-communicable diseases,"A46-A46.0, A66-A67.9, B18-B18.9, B33.2, B86, C00-C13.9, C15-C22.8, C23-C25.9, C30-C34.9, C37-C38.8, C40-C41.9, C43-C45.9, C47-C54.9, C56-C57.8, C60-C63.8, C64-C67.9, C68.0-C68.8, C69.0-C69.8, C70-C73.9, C75-C75.8, C81-C86.6, C88-C91.0, C91.2-C91.3, C91.6, C92-C92.6, C93-C93.1, C93.3, C93.8, C94-C96.9, D00.1-D00.2, D01.0-D01.3, D02.0-D02.3, D03-D06.9, D07.0-D07.2, D07.4-D07.5, D09.0, D09.2-D09.3, D09.8, D10.0-D10.7, D11-D12.9, D13.0-D13.7, D14.0-D14.3, D15-D16.9, D22-D27.9, D28.0-D28.7, D29.0-D29.8, D30.0-D30.8, D31-D36, D36.1-D36.7, D37.1-D37.5, D38.0-D38.5, D39.1-D39.2, D39.8, D40.0-D40.8, D41.0-D41.8, D42-D43.9, D44.0-D44.8, D45-D47.9, D48.0-D48.6, D49.2-D49.4, D49.6, D52.1, D55-D58.9, D59.0-D59.3, D59.5-D59.6, D60-D61.9, D63.1, D64.0, D66-D67, D68.0-D69.8, D70-D70.2, D70.4-D75.8, D76-D78.8, D86-D86.9, D89-D89.2, E03-E07.1, E09-E11.9, E15.0, E16.0-E16.9, E20-E34, E34.1-E34.8, E36-E36.8, E65-E68, E70-E85.2, E88-E89.9, F00-F02.0, F02.2-F02.3, F02.8-F03.9, F10-F16.9, F18-F18.9, F24, F50.0-F50.5, G10-G13.8, G20-G20.9, G21.0-G21.1, G23-G26.0, G30-G31.9, G35-G37.9, G40-G41.9, G45-G46.8, G47.3, G61-G61.9, G62.1, G70-G73.7, G90-G90.9, G93.7, G95-G95.9, G97-G97.9, H05.0-H05.1, I01-I01.9, I02.0, I05-I09.9, I11-I13.9, I20-I25.9, I27.0-I27.2, I28-I28.9, I30-I31.1, I31.8-I37.8, I38-I41.9, I42.1-I42.8, I43-I43.9, I47-I48.9, I51.0-I51.4, I60-I63.9, I65-I66.9, I67.0-I67.3, I67.5-I67.7, I68.0-I68.2, I69.0-I69.3, I70.2-I70.8, I71-I73.9, I77-I89.9, I95.2-I95.3, I97-I98, I98.2, I98.9, J30-J35.9, J37-J39.9, J41-J46.9, J60-J63.8, J65-J68.9, J70-J70.9, J82, J84-J84.9, J91, J91.8-J92.9, J95-J95.9, K20-K20.9, K22-K22.6, K22.8-K29.9, K31-K31.8, K35-K38.9, K40-K46.9, K50-K52.0, K52.2-K52.9, K55-K62.9, K63.5, K64-K64.9, K66.8, K67, K68, K70-K70.3, K71.7, K73-K75, K75.1-K75.2, K75.4-K76.2, K76.4-K77, K77.8, K80-K83.9, K85-K86.9, K90-K91.9, K92.8, K93.8-K95.8, L00-L05.9, L08-L08.9, L10-L14.0, L51-L51.9, L88-L89.9, L93-L93.2, L97-L98.4, M00-M03.0, M03.2-M03.6, M05-M09.8, M30-M36.8, M40-M43.1, M65-M65.0, M71.0-M71.1, M72.5-M72.6, M80-M82.8, M86.3-M86.4, M87-M87.1, M88-M89.0, M89.5, M89.7-M89.9, N00-N08.8, N10-N12.9, N13.6, N14-N16.8, N18-N18.9, N20-N23.0, N25-N28.1, N29-N30.3, N30.8-N32.0, N32.3-N32.4, N34-N34.3, N36-N36.9, N39-N39.2, N41-N41.9, N44-N44.0, N45-N45.9, N49-N49.9, N60-N60.9, N65-N65.1, N72-N72.0, N75-N77.8, N80-N81.9, N83-N83.9, N84.0-N84.1, N87-N87.9, N99-N99.9, P04.3-P04.4, P70.2, P96.0-P96.2, P96.5, Q00-Q07.9, Q10.4-Q18.9, Q20-Q28.9, Q30-Q36, Q37-Q45.9, Q50-Q87.8, Q89-Q89.8, Q90-Q93.9, Q95-Q99.8, R50.2, R78.0-R78.5, R95-R95.9, X45-X45.9, X65-X65.9, Y15-Y15.9","035-035.9, 036.4, 102-103.9, 133-133.6, 135-135.9, 140-148.9, 150-155.1, 155.3-158.9, 160-164.9, 170-175.9, 180-180.9, 182-183.8, 184.0-184.4, 184.8, 185-186.9, 187.1-187.8, 188-188.9, 189.0-189.8, 190-190.8, 191-193.9, 194.1-194.8, 200-204.0, 204.2, 205-205.3, 206-206.1, 207-208.9, 209.0-209.1, 209.4-209.5, 210.0-210.9, 211.0-211.8, 212.0-212.8, 213-213.9, 217-220.9, 221.0-221.8, 222.0-222.8, 223.0-223.8, 224-228.9, 229.0, 229.8, 230.1-230.8, 231.0-231.2, 232-232.9, 233.0-233.2, 233.4-233.5, 233.7, 234.0-234.8, 235.0, 235.4, 235.6-235.8, 236.0-236.2, 236.4-236.5, 236.7, 237-237.3, 237.5-237.9, 238.0-238.9, 239.2-239.4, 239.6, 240-243.9, 244.0-244.1, 244.3-244.8, 245-246.9, 251-259.1, 259.3-259.9, 270-273.9, 275-276, 277-277.2, 277.4-277.9, 278.0-278.8, 282-284.9, 286-286.5, 286.7-289.0, 289.4-289.7, 290-292.9, 294.1-294.9, 303-303.9, 304.0-304.8, 305.0, 305.2-305.8, 307.1, 327.2-327.8, 330-331.2, 331.5-332.0, 333-337.9, 340-341.9, 345-345.9, 349, 349.2-349.8, 353.8-353.9, 356-356.9, 357.0-357.1, 357.3-357.7, 358-359.9, 376.0-376.1, 391-391.9, 392.0, 393-398.9, 402-404.9, 410-414.9, 416.0-416.1, 417-417.9, 420-423, 423.1-423.9, 424.0-424.3, 424.8, 425.0-425.3, 425.5, 425.7-425.8, 427.0-427.3, 427.6-427.8, 429.0, 430-435.9, 437.0-437.2, 437.4-437.8, 440.2, 440.4, 441-443.9, 446-457, 457.1-457.9, 459, 459.1-459.3, 470, 470.9-474.9, 476-476.1, 477-479, 491-493.9, 495-504.9, 506-506.9, 508-509, 515, 516-517.8, 518.6-518.7, 518.9, 519.0-519.4, 530-530.0, 530.2-530.6, 531-536.1, 536.4, 537-537.6, 537.8, 538-543.9, 550-553.6, 555-558.9, 560-560.3, 560.8-560.9, 562-562.1, 564-564.7, 565-566.9, 569.0-569.7, 571-571.9, 572.2-573.0, 573.4-577.9, 579-583.9, 585-585.9, 588-590.9, 592-593.8, 594-599.6, 599.8, 601-602.9, 604-604.9, 608.2, 610-610.9, 617-618.9, 620-620.9, 621.4-621.9, 622.1-622.7, 629-629.8, 680-689, 694-695.5, 707-707.9, 710-711.9, 714-714.3, 714.8-714.9, 730.1, 732-732.9, 733.0-733.1, 740-749.0, 749.2-758.9, 759.0-759.8, 760.7, 775.1-775.3, 779.4-779.5, 788.0, 790.3, 798-798.0, E850, E860"
Neoplasms,"C00-C13.9, C15-C22.8, C23-C25.9, C30-C34.9, C37-C38.8, C40-C41.9, C43-C45.9, C47-C54.9, C56-C57.8, C60-C63.8, C64-C67.9, C68.0-C68.8, C69.0-C69.8, C70-C73.9, C75-C75.8, C81-C86.6, C88-C91.0, C91.2-C91.3, C91.6, C92-C92.6, C93-C93.1, C93.3, C93.8, C94-C96.9, D00.1-D00.2, D01.0-D01.3, D02.0-D02.3, D03-D06.9, D07.0-D07.2, D07.4-D07.5, D09.0, D09.2-D09.3, D09.8, D10.0-D10.7, D11-D12.9, D13.0-D13.7, D14.0-D14.3, D15-D16.9, D22-D24.9, D26.0-D27.9, D28.0-D28.1, D28.7, D29.0-D29.8, D30.0-D30.8, D31-D36, D36.1-D36.7, D37.1-D37.5, D38.0-D38.5, D39.1-D39.2, D39.8, D40.0-D40.8, D41.0-D41.8, D42-D43.9, D44.0-D44.8, D45-D47.9, D48.0-D48.6, D49.2-D49.4, D49.6, K62.0-K62.1, K63.5, N60-N60.9, N84.0-N84.1, N87-N87.9","140-148.9, 150-155.1, 155.3-158.9, 160-164.9, 170-175.9, 180-180.9, 182-183.8, 184.0-184.4, 184.8, 185-186.9, 187.1-187.8, 188-188.9, 189.0-189.8, 190-190.8, 191-193.9, 194.1-194.8, 200-204.0, 204.2, 205-205.3, 206-206.1, 207-208.9, 209.0-209.1, 209.4-209.5, 210.0-210.9, 211.0-211.8, 212.0-212.8, 213-213.9, 217-217.8, 219.0, 220-220.9, 221.0-221.8, 222.0-222.8, 223.0-223.8, 224-228.9, 229.0, 229.8, 230.1-230.8, 231.0-231.2, 232-232.9, 233.0-233.2, 233.4-233.5, 233.7, 234.0-234.8, 235.0, 235.4, 235.6-235.8, 236.1-236.2, 236.4-236.5, 236.7, 237-237.3, 237.5-237.9, 238.0-238.9, 239.2-239.4, 239.6, 569.0, 610-610.9, 622.1-622.2, 622.7"
Lip and oral cavity cancer,"C00-C08.9, D10.0-D10.5, D11-D11.9","140-145.9, 210.0-210.6, 235.0"
Nasopharynx cancer,"C11-C11.9, D10.6","147-147.9, 210.7-210.9"
Other pharynx cancer,"C09-C10.9, C12-C13.9, D10.7","146-146.9, 148-148.9"
Oesophageal cancer,"C15-C15.9, D00.1, D13.0","150-150.9, 211.0, 230.1"
Stomach cancer,"C16-C16.9, D00.2, D13.1, D37.1","151-151.9, 211.1, 230.2"
Colon and rectum cancer,"C18-C21.9, D01.0-D01.3, D12-D12.9, D37.3-D37.5","153-154.9, 209.1, 209.5, 211.3-211.4, 230.3-230.6, 569.0"
Liver cancer,"C22-C22.8, D13.4","155-155.1, 155.3-155.9, 211.5"
Liver cancer due to hepatitis B,,
Liver cancer due to hepatitis C,,
Liver cancer due to alcohol use,,
Liver cancer due to NASH,,
Hepatoblastoma,C22.2,
Liver cancer due to other causes (internal),,
Gallbladder and biliary tract cancer,"C23-C24.9, D13.5",156-156.9
Pancreatic cancer,"C25-C25.9, D13.6-D13.7","157-157.9, 211.6-211.7"
Larynx cancer,"C32-C32.9, D02.0, D14.1, D38.0","161-161.9, 212.1, 231.0, 235.6"
"Tracheal, bronchus, and lung cancer","C33-C34.9, D02.1-D02.3, D14.2-D14.3, D38.1","162-162.9, 212.2-212.3, 231.1-231.2, 235.7"
Malignant skin melanoma,"C43-C43.9, D03-D03.9, D22-D23.9, D48.5",172-172.9
Non-melanoma skin cancer,"C44-C44.9, D04-D04.9, D49.2","173-173.9, 222.4, 232-232.9, 238.2"
Non-melanoma skin cancer (squamous-cell carcinoma),"C44-C44.9, D04-D04.9, D49.2","173-173.9, 222.4, 232-232.9, 238.2"
Soft tissue and other extraosseous sarcomas,C49-C49.9,171-171.9
Malignant neoplasm of bone and articular cartilage,C40-C41.9,170-170.9
Breast cancer,"C50-C50.9, D05-D05.9, D24-D24.9, D48.6, D49.3","174-175.9, 217-217.8, 233.0, 238.3, 239.3, 610-610.9"
Cervical cancer,"C53-C53.9, D06-D06.9, D26.0","180-180.9, 219.0, 233.1, 622.1-622.2, 622.7"
Uterine cancer,"C54-C54.9, D07.0-D07.2, D26.1-D26.9","182-182.9, 233.2"
Ovarian cancer,"C56-C56.9, D27-D27.9, D39.1","183-183.0, 220-220.9, 236.2"
Prostate cancer,"C61-C61.9, D07.5, D29.1, D40.0","185-185.9, 222.2, 236.5"
Testicular cancer,"C62-C62.9, D29.2-D29.8, D40.1-D40.8","186-186.9, 222.0, 222.3, 236.4"
Kidney cancer,"C64-C65.9, D30.0-D30.1, D41.0-D41.1","189.0-189.1, 189.5-189.6, 223.0-223.1"
Bladder cancer,"C67-C67.9, D09.0, D30.3, D41.4-D41.8, D49.4","188-188.9, 223.3, 233.7, 236.7, 239.4"
Brain and central nervous system cancer,C70-C72.9,191-192.9
Eye cancer,C69.0-C69.8,190-190.8
Retinoblastoma,C69.2,190.5
Other eye cancers,"C69.0-C69.1, C69.3-C69.8","190-190.4, 190.6-190.8"
Neuroblastoma and other peripheral nervous cell tumors,C47-C47.9,
Thyroid cancer,"C73-C73.9, D09.3, D09.8, D34-D34.9, D44.0","193-193.9, 226-226.9"
Mesothelioma,C45-C45.9,
Hodgkin lymphoma,C81-C81.9,201-201.9
Non-Hodgkin lymphoma,"C82-C86.6, C96-C96.9","200-200.9, 202-202.9"
Burkitt lymphoma,C83.7-C83.8,200.2
Other non-Hodgkin lymphoma,"C82-C83.6, C83.9-C86.6, C96-C96.9","200-200.1, 200.3-200.9, 202-202.9"
Multiple myeloma,C88-C90.9,203-203.9
Leukaemia,"C91-C91.0, C91.2-C91.3, C91.6, C92-C92.6, C93-C93.1, C93.3, C93.8, C94-C95.9","204-204.0, 204.2, 205-205.3, 206-206.1, 207-208.9"
Acute lymphoid leukaemia,"C91.0, C91.2-C91.3, C91.6","204.0, 204.2"
Chronic lymphoid leukaemia,,
Acute myeloid leukaemia,"C92.0, C92.3-C92.6, C93.0, C94.0, C94.2, C94.4-C94.5","205.0, 205.2-205.3, 206.0, 207.0, 207.2-207.8"
Chronic myeloid leukaemia,C92.1-C92.2,205.1
Other leukaemia,"C93.1, C93.3, C93.8, C94.1, C94.3, C94.6-C95.9","206.1, 207.1, 207.9-208.9"
